                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6244,                 2.8611,                 1.5086,                0.35169,                0.26061,                0.21501,                0.10718,                 2.1965,                 3.5024,                 1.8291,                0.00058,                0.00058,                0.00058
                      2,                 1.5745,                 1.8067,                  1.452,                 0.1884,                0.40303,                 0.1659,                0.07206,                 1.8124,                 9.2161,                 1.9738,              0.0011683,              0.0011683,              0.0011683
                      3,                   1.61,                 1.6246,                 1.4709,                0.12851,                 0.2303,                0.10087,                0.04093,                 2.1911,                 8.6223,                 2.9116,              0.0017448,              0.0017448,              0.0017448
                      4,                 1.6401,                 1.6479,                  1.534,                0.11931,                0.33333,                0.07811,                 0.0277,                 2.2935,                 11.503,                  2.543,              0.0019406,              0.0019406,              0.0019406
                      5,                  1.591,                 1.5425,                 1.4737,                0.07169,                 0.2303,                0.04059,                0.01706,                  2.144,                 4.3398,                 1.9083,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.5957,                 1.5557,                  1.486,                0.33561,                0.38182,                0.28976,                0.13878,                 1.8813,                 3.0809,                 1.8338,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.5737,                 1.4757,                 1.4794,                0.57809,                0.46087,                0.49606,                0.24702,                 1.8309,                 2.0824,                 1.7569,               0.001901,               0.001901,               0.001901
                      8,                 1.5471,                 1.4728,                 1.4767,                0.57145,                0.45758,                0.49444,                0.23813,                  1.787,                   2.19,                 1.7709,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.4954,                 1.4134,                 1.4137,                0.63461,                0.45789,                 0.5298,                0.26061,                 1.6749,                 2.4075,                 1.6287,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.4893,                 1.5349,                 1.4779,                0.59634,                0.48485,                0.48354,                0.23908,                 1.7866,                 1.7926,                 1.7314,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.4781,                 1.3638,                 1.4053,                0.59549,                0.51747,                0.55839,                0.30101,                 1.6592,                 1.6631,                 1.5759,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.4621,                  1.414,                  1.416,                0.63122,                0.40976,                0.50687,                 0.2888,                  1.626,                 1.7043,                 1.5343,               0.001802,               0.001802,               0.001802
                     13,                 1.4255,                 1.3237,                 1.3806,                0.53336,                0.53636,                0.55152,                0.29347,                 1.6174,                 1.6357,                 1.5921,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.4574,                 1.2959,                 1.3997,                0.56206,                0.51337,                0.52796,                0.27912,                 1.6689,                 1.9469,                  1.607,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.4061,                 1.2375,                 1.3645,                0.73246,                0.56364,                0.63607,                0.34938,                 1.5354,                 1.4646,                 1.5369,              0.0017426,              0.0017426,              0.0017426
                     16,                  1.431,                 1.2127,                 1.4113,                0.79956,                0.59232,                0.69668,                0.39107,                  1.555,                 1.2654,                 1.5271,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.3941,                 1.1998,                 1.3455,                 0.6415,                0.62727,                0.63639,                0.36013,                 1.5786,                 1.3377,                 1.5474,               0.001703,               0.001703,               0.001703
                     18,                 1.3365,                 1.1584,                 1.3142,                  0.686,                0.60303,                0.67127,                0.40174,                 1.4946,                 1.3364,                  1.498,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.3196,                 1.1324,                 1.3171,                0.72311,                0.50909,                0.58992,                0.31644,                 1.6445,                 1.6567,                 1.5834,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.4006,                  1.183,                 1.3904,                0.76566,                0.58182,                0.68709,                0.39267,                 1.4723,                 1.2527,                  1.451,              0.0016436,              0.0016436,              0.0016436
